DATE,VaR_MC_95
2017-01-26,-0.007790992902198173
2017-01-27,-0.007850141749626017
2017-01-30,-0.007806813041129344
2017-01-31,-0.007859473356477143
2017-02-01,-0.007839746342701794
2017-02-02,-0.007726753507591352
2017-02-03,-0.0076258912968475675
2017-02-06,-0.007575043016727038
2017-02-07,-0.0076935197837912405
2017-02-08,-0.007487776834634105
2017-02-09,-0.0074682015619726
2017-02-10,-0.007379589574385899
2017-02-13,-0.007405642783634263
2017-02-14,-0.00741357117582215
2017-02-15,-0.007370232447167878
2017-02-16,-0.007398903174999218
2017-02-17,-0.007345863928010084
2017-02-21,-0.007322237034277906
2017-02-22,-0.007322493512334755
2017-02-23,-0.007285337052127182
2017-02-24,-0.00723795253303627
2017-02-27,-0.007216746243013426
2017-02-28,-0.007258782476217131
2017-03-01,-0.00720251240576185
2017-03-02,-0.007111833550280439
2017-03-03,-0.007027494533627973
2017-03-06,-0.0070915451251126966
2017-03-07,-0.007048286969509892
2017-03-08,-0.0071473684137517875
2017-03-09,-0.007112263903786098
2017-03-10,-0.00709583109869798
2017-03-13,-0.0071284527106519405
2017-03-14,-0.007119614155658228
2017-03-15,-0.007059836222422064
2017-03-16,-0.00710471494206906
2017-03-17,-0.007060289159532446
2017-03-20,-0.007062163621536363
2017-03-21,-0.006980017451076572
2017-03-22,-0.0070543677465799235
2017-03-23,-0.00706590769267657
2017-03-24,-0.007002315453329725
2017-03-27,-0.006918683432316481
2017-03-28,-0.0069742286187100475
2017-03-29,-0.007047023387173565
2017-03-30,-0.006961649208952587
2017-03-31,-0.006937469210786142
2017-04-03,-0.007012292820314974
2017-04-04,-0.007035520922647216
2017-04-05,-0.007009632414278376
2017-04-06,-0.006947117825010471
2017-04-07,-0.006953057465777878
2017-04-10,-0.0068797240935402045
2017-04-11,-0.006816320011172448
2017-04-12,-0.006910523117107407
2017-04-13,-0.006872074772686817
2017-04-17,-0.00694722966147397
2017-04-18,-0.006943422022843458
2017-04-19,-0.006889700199785272
2017-04-20,-0.006888893006389403
2017-04-21,-0.006992258083749568
2017-04-24,-0.006950239513905465
2017-04-25,-0.00695326092384146
2017-04-26,-0.006921561993554135
2017-04-27,-0.007018727160048496
2017-04-28,-0.006933695963596552
2017-05-01,-0.006956555214745434
2017-05-02,-0.006909328995886537
2017-05-03,-0.006980792447707144
2017-05-04,-0.006976532455647097
2017-05-05,-0.006919336968592069
2017-05-08,-0.006860902382581202
2017-05-09,-0.006867603429759301
2017-05-10,-0.006856551064657394
2017-05-11,-0.006880825437785827
2017-05-12,-0.006908575617718334
2017-05-15,-0.006827053023406213
2017-05-16,-0.006794557530391787
2017-05-17,-0.006718217986633389
2017-05-18,-0.006763733014298391
2017-05-19,-0.006763319736863391
2017-05-22,-0.006769829887346031
2017-05-23,-0.006751299052541253
2017-05-24,-0.006757137887843489
2017-05-25,-0.006704816711410203
2017-05-26,-0.006690816967732986
2017-05-30,-0.006701542266770526
2017-05-31,-0.006710002429030798
2017-06-01,-0.006732404383538001
2017-06-02,-0.006691315719973384
2017-06-05,-0.006752199315491714
2017-06-06,-0.006717246662486909
2017-06-07,-0.0067182965282324945
2017-06-08,-0.006706653356870523
2017-06-09,-0.006740677356602414
2017-06-12,-0.006761444791107364
2017-06-13,-0.00666862784192254
2017-06-14,-0.0066495156290381635
2017-06-15,-0.006614576519925638
2017-06-16,-0.006622424673996126
2017-06-19,-0.006631532264386085
2017-06-20,-0.006571488987281918
2017-06-21,-0.006655379779897773
2017-06-22,-0.006648876168031561
2017-06-23,-0.006636839134605771
2017-06-26,-0.006621252601250854
2017-06-27,-0.006612287546622977
2017-06-28,-0.0056442503851937475
2017-06-29,-0.00543663251348733
2017-06-30,-0.005396727926997016
2017-07-03,-0.005289169854050706
2017-07-05,-0.005296947719811801
2017-07-06,-0.005305053707054402
2017-07-07,-0.005272880017998167
2017-07-10,-0.005291740651576493
2017-07-11,-0.005230508392930753
2017-07-12,-0.0052644500539631295
2017-07-13,-0.005277965942381525
2017-07-14,-0.005242526803004126
2017-07-17,-0.005189824147846026
2017-07-18,-0.0052125982959497765
2017-07-19,-0.005194044337253052
2017-07-20,-0.005252660340218359
2017-07-21,-0.00520043167865896
2017-07-24,-0.005191167852369199
2017-07-25,-0.0051623189941610295
2017-07-26,-0.005187874599590127
2017-07-27,-0.005168489607748599
2017-07-28,-0.005176266076725316
2017-07-31,-0.005140347954281926
2017-08-01,-0.005182554089580987
2017-08-02,-0.00519076611784628
2017-08-03,-0.005173940073076473
2017-08-04,-0.005153043159718854
2017-08-07,-0.005249633262577009
2017-08-08,-0.005167614540238244
2017-08-09,-0.005202833681482175
2017-08-10,-0.0052066614974857935
2017-08-11,-0.0053292468609984385
2017-08-14,-0.005321375734179368
2017-08-15,-0.005275674515041423
2017-08-16,-0.005326643001482234
2017-08-17,-0.005363662027726807
2017-08-18,-0.0054498128365975404
2017-08-21,-0.005416390626218396
2017-08-22,-0.005419678997557419
2017-08-23,-0.005419166334719346
2017-08-24,-0.005445308176635017
2017-08-25,-0.005398695497015945
2017-08-28,-0.005380219294287058
2017-08-29,-0.005365099134555121
2017-08-30,-0.00534634428071531
2017-08-31,-0.0053855691368185615
2017-09-01,-0.005356727994080576
2017-09-05,-0.005320339554933972
2017-09-06,-0.005342047886722432
2017-09-07,-0.0054022057539977785
2017-09-08,-0.005370455385340038
2017-09-11,-0.005406454675889237
2017-09-12,-0.005339354140267791
2017-09-13,-0.005030250442509421
2017-09-14,-0.00499870775353921
2017-09-15,-0.004866677037470845
2017-09-18,-0.004899990902299469
2017-09-19,-0.0048697314825382155
2017-09-20,-0.004836223672572698
2017-09-21,-0.004788278257271527
2017-09-22,-0.004820522037137663
2017-09-25,-0.004814031377769789
2017-09-26,-0.004851030837057619
2017-09-27,-0.004817527669225932
2017-09-28,-0.004792390618338654
2017-09-29,-0.004792843661376893
2017-10-02,-0.0048095666234617305
2017-10-03,-0.004800315644252154
2017-10-04,-0.004818141888244459
2017-10-05,-0.004722867176051943
2017-10-06,-0.004738522364717211
2017-10-10,-0.004779950892581564
2017-10-11,-0.004705276603403072
2017-10-12,-0.004724045870318395
2017-10-13,-0.004598805546329489
2017-10-16,-0.004591792481325483
2017-10-17,-0.004578753018391273
2017-10-18,-0.0045759156467112625
2017-10-19,-0.004570144599824963
2017-10-20,-0.004523631552811919
2017-10-23,-0.004572377155109333
2017-10-24,-0.004590212211214056
2017-10-25,-0.0045368819463752095
2017-10-26,-0.004589593331258891
2017-10-27,-0.004578392479804046
2017-10-30,-0.004566911630931209
2017-10-31,-0.004556448824700495
2017-11-01,-0.004544702457350938
2017-11-02,-0.0045155863609849705
2017-11-03,-0.00451900025765748
2017-11-06,-0.004537628866412764
2017-11-07,-0.004522035290118452
2017-11-08,-0.004488360023490423
2017-11-09,-0.0044438389944710995
2017-11-13,-0.0044557903577881084
2017-11-14,-0.004425548673029599
2017-11-15,-0.004414196713073243
2017-11-16,-0.004368286818124997
2017-11-17,-0.004330729063218864
2017-11-20,-0.004319043617004168
2017-11-21,-0.0043567123148701955
2017-11-22,-0.004321415818643658
2017-11-24,-0.004317391154672504
2017-11-27,-0.004372509633937669
2017-11-28,-0.0043220200472431506
2017-11-29,-0.004276198468535805
2017-11-30,-0.004292968862781974
2017-12-01,-0.004338190691357078
2017-12-04,-0.004262193962646529
2017-12-05,-0.004310755169755718
2017-12-06,-0.004384431818072982
2017-12-07,-0.004360869153308271
2017-12-08,-0.00432788553468452
2017-12-11,-0.0042809486513930165
2017-12-12,-0.004257088979165565
2017-12-13,-0.004263448756063056
2017-12-14,-0.00425139227799743
2017-12-15,-0.0043145573017759325
2017-12-18,-0.004233151285532074
2017-12-19,-0.0040925035147635165
2017-12-20,-0.004130569448392213
2017-12-21,-0.004145777146068911
2017-12-22,-0.004152001821399766
2017-12-26,-0.004126434560534275
2017-12-27,-0.0041270193393985076
2017-12-28,-0.004113891085939979
2017-12-29,-0.004151476175444905
2018-01-02,-0.004001226305653668
2018-01-03,-0.004020951953189785
2018-01-04,-0.0040262137795801945
2018-01-05,-0.004033122039635321
2018-01-08,-0.004023762364325102
2018-01-09,-0.0040013738522119025
2018-01-10,-0.004044626461679043
2018-01-11,-0.004027375312594693
2018-01-12,-0.004053650574691716
2018-01-16,-0.004012648476845963
2018-01-17,-0.004049127299139754
2018-01-18,-0.004032998490031266
2018-01-19,-0.004057729654323939
2018-01-22,-0.004048746910968182
2018-01-23,-0.0039838886784578365
2018-01-24,-0.003973925856255493
2018-01-25,-0.004009115706890847
2018-01-26,-0.003992938099747591
2018-01-29,-0.003947026708801687
2018-01-30,-0.004020607048945395
2018-01-31,-0.004081378280820825
2018-02-01,-0.004053126491315856
2018-02-02,-0.004075481155366358
2018-02-05,-0.004365766481360874
2018-02-06,-0.005170552696339083
2018-02-07,-0.005143819742091656
2018-02-08,-0.0052363525082835885
2018-02-09,-0.0058720451469647765
2018-02-12,-0.005949465545494767
2018-02-13,-0.005937949027575201
2018-02-14,-0.005948756383293474
2018-02-15,-0.00593529894277326
2018-02-16,-0.006073756937574805
2018-02-20,-0.006003995236753984
2018-02-21,-0.006096980141983116
2018-02-22,-0.006143074122038694
2018-02-23,-0.0060937496443397516
2018-02-26,-0.006188363709371599
2018-02-27,-0.0061413563362562006
2018-02-28,-0.006319374910096412
2018-03-01,-0.006371180237756543
2018-03-02,-0.006421321523689815
2018-03-05,-0.006437264619947805
2018-03-06,-0.006410099271722498
2018-03-07,-0.006442423708162212
2018-03-08,-0.006401826223355693
2018-03-09,-0.006344969947027095
2018-03-12,-0.006441671976627392
2018-03-13,-0.0063896101312456086
2018-03-14,-0.006431701863078627
2018-03-15,-0.006468003324050044
2018-03-16,-0.006510908274246238
2018-03-19,-0.006513694684723462
2018-03-20,-0.006550164520156175
2018-03-21,-0.006563283916484835
2018-03-22,-0.0065077203197901725
2018-03-23,-0.006735570115713344
2018-03-26,-0.0069062430839341455
2018-03-27,-0.00704100220376192
2018-03-28,-0.007224977416197468
2018-03-29,-0.007235746779569646
2018-04-02,-0.00714993234859309
2018-04-03,-0.007403272977577133
2018-04-04,-0.007432364828243122
2018-04-05,-0.007308198890106809
2018-04-06,-0.007373832874082899
2018-04-09,-0.0075292530464095295
2018-04-10,-0.007503887767384998
2018-04-11,-0.007522931080138565
2018-04-12,-0.00758335894539629
2018-04-13,-0.007555645630576765
2018-04-16,-0.0074815027321050356
2018-04-17,-0.007478987375004919
2018-04-18,-0.00751347108330112
2018-04-19,-0.007432543068376951
2018-04-20,-0.00752117989992096
2018-04-23,-0.007562741689593926
2018-04-24,-0.007532800060853762
2018-04-25,-0.007560028985845998
2018-04-26,-0.007633639818457133
2018-04-27,-0.007572647976574137
2018-04-30,-0.007595580496666509
2018-05-01,-0.007621703092707312
2018-05-02,-0.0075623220671887864
2018-05-03,-0.007696544597181979
2018-05-04,-0.007743497631419223
2018-05-07,-0.0076997155537399066
2018-05-08,-0.007719320940871422
2018-05-09,-0.007662357646347218
2018-05-10,-0.007710614581550066
2018-05-11,-0.007717729821102106
2018-05-14,-0.007643486702746938
2018-05-15,-0.007643356559867447
2018-05-16,-0.007759423287474602
2018-05-17,-0.0076874442230543145
2018-05-18,-0.007595776025420249
2018-05-21,-0.007704968963947098
2018-05-22,-0.007708621951217555
2018-05-23,-0.007664420386413202
2018-05-24,-0.007725917674334932
2018-05-25,-0.007746527778793014
2018-05-29,-0.007740542392723802
2018-05-30,-0.007845227843070604
2018-05-31,-0.007869058469415855
2018-06-01,-0.00791924977570299
2018-06-04,-0.007952497861863335
2018-06-05,-0.007937374865629536
2018-06-06,-0.007953650574579526
2018-06-07,-0.007912984910785945
2018-06-08,-0.00794640337677263
2018-06-11,-0.007901552628416198
2018-06-12,-0.007914323409466413
2018-06-13,-0.007868085440696648
2018-06-14,-0.00793217587138874
2018-06-15,-0.007996750305510577
2018-06-18,-0.007939796623338479
2018-06-19,-0.007949510798673282
2018-06-20,-0.007905819911526292
2018-06-21,-0.007885677342077806
2018-06-22,-0.007964972155312227
2018-06-25,-0.007979439308499401
2018-06-26,-0.008038823308287783
2018-06-27,-0.007990409472876624
2018-06-28,-0.008094834669804563
2018-06-29,-0.008039892776613926
2018-07-02,-0.007999768773038162
2018-07-03,-0.00799417884821213
2018-07-05,-0.00805425588891785
2018-07-06,-0.008009437267155962
