DATE,SP500_log,EURUSD_log
2016-01-26,0.014045211853838186,0.0012916322489497927
2016-01-27,-0.010922893803811026,0.0019343256618456852
2016-01-28,0.005513332522616619,0.007791413905433075
2016-01-29,0.024458648291019413,-0.011017371816228649
2016-02-01,-0.0004433423964646878,0.005156549179245798
2016-02-02,-0.0189209815953702,0.0018351996341770525
2016-02-03,0.004979620098044139,0.013024456623303145
2016-02-04,0.001525609102635925,0.01330356699391135
2016-02-05,-0.01865420973979322,-0.006090480089467687
2016-02-08,-0.014255000337827674,0.0034976045700206267
2016-02-09,-0.0006638511706025009,0.011571112637185497
2016-02-10,-0.00018898131031094855,-0.006926588389514494
2016-02-11,-0.012377431213466798,0.012398316806154996
2016-02-12,0.019329975470501772,-0.01124054849764281
2016-02-16,0.016381776635361386,-0.008491671138154371
2016-02-17,0.01634611531802933,0.0
2016-02-18,-0.004676637085284247,-0.004318106745606455
2016-02-19,-2.607147233575974e-05,0.003150459422031891
2016-02-22,0.014350746375528583,-0.009844288125038823
2016-02-23,-0.012532587736590248,-0.00018153762417100964
2016-02-24,0.004429944898265448,0.0004537822830512177
2016-02-25,0.011284417050872818,0.00045357645808680533
2016-02-26,-0.0018719154129472615,-0.008561852101670323
2016-02-29,-0.008154095918303473,-0.00587157650172026
2016-03-01,0.023588387634097943,-0.001934147506020845
2016-03-02,0.004085962101079654,-0.00018439977924271419
2016-03-03,0.0034925974922729325,0.00945264689959491
2016-03-04,0.0033004569962263434,0.005647159556155836
2016-03-07,0.0008846130395075827,-0.0005451076722603845
2016-03-08,-0.011303756111464681,0.0021786500992221724
2016-03-09,0.005039672807617217,-0.0005442177005066951
2016-03-10,0.00015582470255186083,0.012621876905198242
2016-03-11,0.0162625475679903,0.0016113153607113177
2016-03-14,-0.0012618048449994732,-0.006550927541970196
2016-03-15,-0.0018386503245784805,0.0004500652670595372
2016-03-16,0.005584768976783901,-0.003335289520843294
2016-03-17,0.00657358536675143,0.021527337508121334
2016-03-18,0.004395912383556867,-0.0021231430480778664
2016-03-21,0.0009850824218144217,-0.00283788767969861
2016-03-22,-0.0008777491176506626,-0.002845964211908164
2016-03-23,-0.006406466530530142,-0.0048210074626791
2016-03-24,-0.00037813217888834326,-0.0009849130043618056
2016-03-28,0.0005450541383505678,0.004201499051473233
2016-03-29,0.008778031272149312,-0.0005353796862064081
2016-03-30,0.004340908403282531,0.011183217642052816
2016-03-31,-0.002041861276038347,0.005281702419175763
2016-04-01,0.006310940191309253,-0.0004390779433878003
2016-04-04,-0.0032134091933979764,8.78310131872481e-05
2016-04-05,-0.01019637661751755,-0.001054481644282316
2016-04-06,0.01045286194723677,0.004911428922111485
2016-04-07,-0.012048133236940891,-0.003856947277829139
2016-04-08,0.002782731266950438,0.001755002205456967
2016-04-11,-0.0027435530304558238,0.0005259006169064986
2016-04-12,0.009615763308903494,-0.0014907706536060484
2016-04-13,0.009990093075086406,-0.010054768074864162
2016-04-14,0.00017286084744860797,-0.00168566779035654
2016-04-15,-0.0009847461231804666,0.0029259230875398052
2016-04-18,0.006519674261282988,0.0023875856945017484
2016-04-19,0.00307975662601835,0.004670229222545866
2016-04-20,0.0007613247417596009,-0.0039638897970990855
2016-04-21,-0.005207599968700849,-0.002562857661901153
2016-04-22,4.781188891334172e-05,-0.005501344841883863
2016-04-25,-0.0018136709785938731,0.0031093171232531784
2016-04-26,0.0018710422279640288,0.0038951890609486934
2016-04-27,0.0016480173786207935,0.00035335689413619774
2016-04-28,-0.009273710899120031,0.0002649357546294976
2016-04-29,-0.005075944645770556,0.010190723349709009
2016-05-02,0.007779663181895582,0.006533978031122583
2016-05-03,-0.008714589025124732,-0.0006949270606279089
2016-05-04,-0.0059545830446672615,-0.001913543247196644
2016-05-05,-0.00023892241230235656,-0.007164731391679222
