DATE,port_log
2016-01-26,0.00894378001188274
2016-01-27,-0.005780006017548359
2016-01-28,0.00642456507574316
2016-01-29,0.0102682402481202
2016-02-01,0.00179661423381952
2016-02-02,-0.01061850910355132
2016-02-03,0.008197554708147701
2016-02-04,0.00623679225914606
2016-02-05,-0.01362871787966296
2016-02-08,-0.007153958374688319
2016-02-09,0.00423013435251266
2016-02-10,-0.0028840241419923005
2016-02-11,-0.00246713200561806
2016-02-12,0.007101765883243899
2016-02-16,0.006432397525955059
2016-02-17,0.009807669190817579
2016-02-18,-0.00453322494941308
2016-02-19,0.0012445408854112642
2016-02-22,0.0046727325753015796
2016-02-23,-0.00759216769162252
2016-02-24,0.0028394798521797202
2016-02-25,0.0069520808137584
2016-02-26,-0.00454789008843644
2016-02-29,-0.00724108815167012
2016-03-01,0.01337937357805042
2016-03-02,0.00237781734895068
2016-03-03,0.005876617255201701
2016-03-04,0.0042391380201981
2016-03-07,0.00031272475480038
2016-03-08,-0.00591079362718992
2016-03-09,0.00280611660436768
2016-03-10,0.00514224558361036
2016-03-11,0.0104020546850787
2016-03-14,-0.00337745392378768
2016-03-15,-0.0009231640879232398
2016-03-16,0.0020167455777330597
2016-03-17,0.012555086223299358
2016-03-18,0.0017882902109029597
2016-03-21,-0.0005441056187908
2016-03-22,-0.0016650351553536
2016-03-23,-0.0057722829033897
2016-03-24,-0.0006208445090777
2016-03-28,0.00200763210359958
2016-03-29,0.005052666888807019
2016-03-30,0.007077832098790621
2016-03-31,0.0008875642020473003
2016-04-01,0.0036109329374304
2016-04-04,-0.0018929131107638408
2016-04-05,-0.00653961862822342
2016-04-06,0.00823628873718658
2016-04-07,-0.00877165885329612
2016-04-08,0.002371639642353
2016-04-11,-0.00143577157151092
2016-04-12,0.00517314972389964
2016-04-13,0.0019721486151061994
2016-04-14,-0.00057055060767344
2016-04-15,0.00057952156110768
2016-04-18,0.00486683883457042
2016-04-19,0.0037159456646293004
2016-04-20,-0.00112876107378384
2016-04-21,-0.00414970304598092
2016-04-22,-0.002171850803405515
2016-04-25,0.00015552426214496024
2016-04-26,0.0026807009611578402
2016-04-27,0.00113015318482686
2016-04-28,-0.00545825223762024
2016-04-29,0.0010307225524212997
2016-05-02,0.007281389121586299
2016-05-03,-0.005506724239325979
2016-05-04,-0.00433816712567896
2016-05-05,-0.00300924600405306
2016-05-06,0.0024976013825295596
2016-05-09,-0.00021408125348976008
2016-05-10,0.006882133754238839
2016-05-11,-0.003732115432101079
2016-05-12,-0.00234498873512228
2016-05-13,-0.00814295195599404
2016-05-16,0.00705177733632202
2016-05-17,-0.005355861765866421
2016-05-18,-0.00203497418087536
2016-05-19,-0.0044335969917617
2016-05-20,0.00335110118478774
2016-05-23,-0.00178831168240912
2016-05-24,0.00646986882000298
2016-05-25,0.0044932079656641
2016-05-26,0.0009481065569528001
2016-05-27,0.0009898478521140996
2016-05-31,-0.00078014267679398
2016-06-01,0.00175397543400508
2016-06-02,0.0014057245731051598
2016-06-03,0.004405187508760081
2016-06-06,0.0037776004986309
2016-06-07,0.0006322333393390799
2016-06-08,0.00374063930248724
2016-06-09,-0.0035305208428069402
2016-06-10,-0.007228910660919341
2016-06-13,-0.004853520337640628
2016-06-14,-0.00378398036689278
2016-06-15,7.078368244676017e-05
2016-06-16,-0.0010163985587580801
2016-06-17,0.0015398713358491605
2016-06-20,0.00567204474350542
2016-06-21,-0.0003589983425853398
2016-06-22,-0.00014025431396067986
2016-06-23,0.01103694904894308
2016-06-24,-0.03073143176051394
2016-06-27,-0.01464134850969918
2016-06-28,0.01165555040610102
2016-06-29,0.0124067759876339
2016-06-30,0.00501416173598172
2016-07-01,0.00524439895450844
2016-07-05,-0.00646235955753492
2016-07-06,0.00309491392967876
2016-07-07,-0.00095671759611148
2016-07-08,0.00810566812569288
2016-07-11,0.00229527749399032
2016-07-12,0.00523978326929652
2016-07-13,0.0014510791326045
2016-07-14,0.00303922868453728
2016-07-15,-0.00236203052797744
2016-07-18,0.0020421158133589
2016-07-19,-0.0031071263559544404
2016-07-20,0.0023024250008080597
2016-07-21,-0.0018444839174643398
2016-07-22,0.0009794186758143803
2016-07-25,-0.0013722002294933198
2016-07-26,0.00033934575436966
2016-07-27,-0.00057395720497764
2016-07-28,0.00480321906375324
2016-07-29,0.0036372270689666404
2016-08-01,-0.00047592344978225994
2016-08-02,-0.0020792236752121603
2016-08-03,-8.730527170372026e-05
2016-08-04,-0.0011637089165352202
2016-08-05,0.0031952627857235196
2016-08-08,-0.00061669329359314
2016-08-09,0.00138758154023838
2016-08-10,0.00046893414449174025
2016-08-11,0.0027266002179619597
2016-08-12,-0.00033457989832806005
2016-08-15,0.00263898615108136
2016-08-16,-0.00052017932265822
2016-08-17,0.0006231942843178199
2016-08-18,0.00383192387710086
2016-08-19,-0.00114724860155168
2016-08-22,-0.00076205571207644
2016-08-23,0.0009577347343393999
2016-08-24,-0.00499609179604524
2016-08-25,-0.00018055636828463988
2016-08-26,-0.002262971333455
2016-08-29,0.0011660751819714595
2016-08-30,-0.00231975728237112
2016-08-31,-0.00157069236094748
2016-09-01,0.0016940181099925975
2016-09-02,0.0012269036068445999
2016-09-06,0.00460841560699396
2016-09-07,-5.22236950019213e-05
2016-09-08,-0.00069515961949324
2016-09-09,-0.01639197738208982
2016-09-12,0.009312546426359099
2016-09-13,-0.00853784528906348
2016-09-14,0.0006778066288959
2016-09-15,0.00514689449763146
2016-09-16,-0.00533825046340474
2016-09-19,0.0006692050719823554
2016-09-20,-7.106186007154e-05
